   1416.4763   1377.9679   1315.8943   1244.8217   1168.9173   1092.0628   1017.6832    948.5442    886.6310    832.7545    673.6290    661.2900
   1460.2062   1421.6678   1359.4764   1288.1109   1211.6110   1133.7052   1057.6572    986.0813    920.8373    862.6189    687.6906    674.3098
   1493.8863   1455.3247   1393.0418   1321.4493   1244.4879   1165.7679   1088.4293   1014.9715    947.1638    885.6211    698.6286    684.4578
   1516.5661   1477.9890   1415.6451   1343.9011   1266.6313   1187.3670   1109.1642   1034.4438    964.9100    901.1170    705.9339    691.2227
   1531.6407   1493.0531   1430.6680   1358.8219   1281.3447   1201.7146   1122.9319   1047.3658    976.6776    911.3816    710.7324    695.6601
   1541.4188   1502.8246   1440.4135   1368.5025   1290.8931   1211.0296   1131.8761   1055.7677    984.3375    918.0734    713.8989    698.5937
   1547.9376   1509.3388   1446.9097   1374.9541   1297.2542   1217.2311   1137.8251   1061.3486    989.4167    922.5002    715.9538    700.4917
   1552.0119   1513.4104   1450.9705   1378.9884   1301.2343   1221.1154   1141.5567   1064.8565    992.6178    925.3002    717.2919    701.7333
   1554.4564   1515.8531   1453.4063   1381.4070   1303.6180   1223.4378   1143.7824   1066.9419    994.5124    926.9476    718.0419    702.4240
   1555.8145   1517.2104   1454.7602   1382.7526   1304.9466   1224.7360   1145.0319   1068.1194    995.5905    927.8948    718.5105    702.8611
   1556.3577   1517.7531   1455.3012   1383.2891   1305.4742   1225.2482   1145.5201   1068.5735    995.9990    928.2453    718.6520    702.9889
   1556.0861   1517.4818   1455.0309   1383.0215   1305.2118   1224.9947   1145.2803   1068.3527    995.8033    928.0808    718.5990    702.9435
   1555.2712   1516.6674   1454.2184   1382.2136   1304.4136   1224.2139   1144.5274   1067.6416    995.1502    927.5047    718.3056    702.6690
   1553.9132   1515.3104   1452.8654   1380.8705   1303.0906   1222.9259   1143.2947   1066.4886    994.1052    926.5990    717.9044    702.3016
   1552.1475   1513.5459   1451.1053   1379.1215   1301.3642   1221.2398   1141.6729   1064.9616    992.7089    925.3742    717.3063    701.7451
   1549.2957   1510.6961   1448.2636   1376.2998   1298.5829   1218.5296   1139.0751   1062.5270    990.4962    923.4495    716.4270    700.9351
   1546.1720   1507.5744   1445.1501   1373.2064   1295.5308   1215.5505   1136.2123   1059.8349    988.0384    921.2984    715.3944    699.9764
   1542.5053   1503.9104   1441.4963   1369.5781   1291.9540   1212.0645   1132.8698   1056.7013    985.1890    918.8180    714.2545    698.9253
   1538.4311   1499.8388   1437.4354   1365.5438   1287.9739   1208.1804   1129.1384   1053.1937    981.9883    916.0186    712.9179    697.6854
   1533.9495   1495.3605   1432.9695   1361.1088   1283.6017   1203.9186   1125.0514   1049.3610    978.5021    912.9825    711.5175    696.3934
   1528.7888   1490.2032   1427.8259   1355.9991   1278.5610   1199.0001   1120.3272   1044.9213    974.4523    909.4422    709.8334    694.8321
   1523.0849   1484.5033   1422.1418   1350.3541   1272.9955   1193.5745   1115.1232   1040.0400    970.0108    905.5725    708.0423    693.1788
   1516.4302   1477.8531   1415.5092   1343.7655   1266.4964   1187.2336   1109.0337   1034.3186    964.7934    901.0132    705.8805    691.1759
   1508.6893   1470.1176   1407.7950   1336.1041   1258.9423   1179.8686   1101.9683   1027.6898    958.7599    895.7543    703.4380    688.9202
   1499.1827   1460.6175   1398.3203   1326.6925   1249.6591   1170.8124   1093.2728   1019.5217    951.3136    889.2499    700.3638    686.0733
   1487.5035   1448.9464   1386.6811   1315.1326   1238.2604   1159.6978   1082.6084   1009.5139    942.2020    881.3048    696.6613    682.6523
   1472.4287   1433.8818   1371.6571   1300.2091   1223.5414   1145.3401   1068.8244    996.5686    930.4035    871.0023    691.8056    678.1578
   1452.6010   1414.0678   1351.8971   1280.5831   1204.1880   1126.4673   1050.7137    979.5699    914.9232    857.4994    685.4964    672.3259
   1425.9829   1387.4679   1325.3689   1254.2330   1178.2001   1101.1191   1026.3810    956.7209    894.1025    839.3233    676.9473    664.4153
   1395.0187   1356.5251   1294.5102   1223.5831   1147.9748   1071.6429    998.0928    930.1668    869.9168    818.2228    667.0724    655.2850
