      0.00      0.00    651.20    654.34    656.44    658.04    659.02    659.82    660.33    660.79    661.09    661.33    661.43    661.50    661.51    661.50    661.39    661.34    661.13    660.96    660.67    660.41    660.00    659.66    659.16    658.61    657.95    657.22    656.22    654.96    653.04    650.30
      0.00      0.00    653.71    658.20    661.30    663.66    665.19    666.32    667.13    667.75    668.14    668.42    668.60    668.72    668.69    668.68    668.52    668.39    668.10    667.84    667.43    667.04    666.51    665.95    665.25    664.48    663.44    662.30    660.80    658.82    655.97    652.27
      0.00      0.00    660.51    670.41    678.24    684.05    687.76    690.32    691.97    693.05    693.65    694.02    694.11    694.06    693.82    693.52    693.02    692.51    691.81    691.08    690.17    689.20    687.99    686.64    685.01    683.15    680.81    678.04    674.35    669.64    663.44    656.38
      0.00      0.00    660.51    670.41    678.25    684.01    687.72    690.28    691.88    693.01    693.61    693.98    694.03    694.02    693.78    693.48    692.98    692.47    691.76    691.04    690.13    689.20    687.99    686.64    685.01    683.15    680.86    678.04    674.35    669.64    663.44    656.38
      0.00      0.00    653.72    658.20    661.30    663.66    665.15    666.28    667.09    667.67    668.06    668.38    668.52    668.68    668.64    668.64    668.48    668.34    668.10    667.84    667.43    667.04    666.51    665.95    665.25    664.48    663.48    662.34    660.80    658.86    656.02    652.27
      0.00      0.00    651.24    654.39    656.44    658.08    659.07    659.86    660.38    660.83    661.13    661.38    661.47    661.55    661.56    661.55    661.43    661.38    661.18    661.00    660.72    660.46    660.09    659.70    659.21    658.65    657.99    657.23    656.23    655.00    653.04    650.34
      0.00      0.00    651.20    654.38    656.44    658.04    659.02    659.82    660.37    660.79    661.09    661.33    661.43    661.55    661.51    661.50    661.43    661.34    661.13    660.96    660.67    660.41    660.04    659.66    659.16    658.65    657.95    657.22    656.23    655.00    653.04    650.34
      0.00      0.00    662.98    674.14    682.86    689.09    693.09    695.82    697.51    698.68    699.27    699.64    699.69    699.64    699.36    699.01    698.44    697.84    697.05    696.20    695.12    693.94    692.56    691.04    689.29    687.27    684.76    681.73    677.79    672.66    665.88    658.02
      0.00      0.00    667.05    680.26    690.59    697.48    702.03    705.05    706.95    708.24    708.92    709.34    709.43    709.38    709.05    708.62    708.00    707.28    706.24    705.14    703.85    702.50    700.91    699.18    697.13    694.82    691.93    688.48    683.92    678.04    670.11    660.87
      0.00      0.00    667.98    681.52    691.92    699.16    703.75    706.81    708.79    710.09    710.85    711.31    711.40    711.39    711.11    710.72    710.14    709.34    708.30    707.20    705.95    704.55    702.97    701.24    699.15    696.79    693.82    690.25    685.60    679.46    671.25    661.71
      0.00      0.00    667.51    680.05    688.69    694.50    698.09    700.60    702.29    703.50    704.31    704.84    705.11    705.27    705.19    705.01    704.65    704.18    703.47    702.67    701.62    700.48    699.15    697.71    695.92    693.94    691.43    688.40    684.38    679.00    671.37    661.88
      0.00      0.00    667.97    681.52    692.01    698.99    703.54    706.56    708.50    709.79    710.52    710.97    711.11    711.10    710.81    710.47    709.89    709.13    708.13    707.07    705.82    704.47    702.88    701.20    699.15    696.79    693.91    690.33    685.68    679.59    671.33    661.75
      0.00      0.00    667.09    680.35    690.49    697.56    702.07    705.09    706.99    708.24    708.92    709.34    709.43    709.38    709.05    708.67    708.04    707.28    706.28    705.18    703.89    702.54    700.95    699.27    697.22    694.90    692.06    688.57    684.04    678.12    670.20    660.91
      0.00      0.00    663.07    674.26    682.98    689.25    693.30    695.99    697.72    698.84    699.48    699.85    699.90    699.81    699.53    699.18    698.60    698.01    697.22    696.37    695.25    694.06    692.69    691.17    689.37    687.35    684.84    681.81    677.83    672.75    665.92    658.06
      0.00      0.00    651.24    654.39    656.48    658.08    659.07    659.86    660.42    660.87    661.14    661.38    661.47    661.59    661.56    661.55    661.47    661.38    661.18    661.00    660.72    660.46    660.05    659.70    659.17    658.65    657.99    657.23    656.23    655.00    653.04    650.34
