     -0.6025      1.4610    391.9770    392.9679    393.5207    394.0036    394.1985    394.4384    394.4584    394.5826    394.5356    394.6225    394.5555    394.6326    394.5597    394.6345    394.5599    394.6356    394.5633    394.6399    394.5681    394.6423    394.5671    394.6393    394.5614    394.6309    394.5540    394.6239    394.5437    394.6069    394.5161    394.5614
     -0.3615      1.4610    391.9896    392.9953    393.5591    394.0469    394.2382    394.4764    394.4953    394.6234    394.5791    394.6754    394.6172    394.7072    394.6408    394.7209    394.6445    394.7181    394.6389    394.7094    394.6272    394.6960    394.6176    394.6917    394.6125    394.6809    394.5965    394.6629    394.5761    394.6379    394.5437    394.5863
     -0.1205      1.4610    392.0183    393.0560    393.6523    394.1691    394.3876    394.6463    394.6831    394.8250    394.7919    394.8913    394.8308    394.9139    394.8451    394.9234    394.8494    394.9197    394.8372    394.9024    394.8189    394.8864    394.8038    394.8685    394.7807    394.8402    394.7496    394.8073    394.7107    394.7533    394.6360    394.6468
      0.1205      1.4610    392.0154    393.0572    393.6546    394.1756    394.3958    394.6605    394.6991    394.8443    394.8087    394.9099    394.8494    394.9380    394.8689    394.9478    394.8666    394.9337    394.8445    394.9091    394.8218    394.8889    394.8023    394.8668    394.7768    394.8396    394.7517    394.8142    394.7159    394.7615    394.6404    394.6525
      0.3615      1.4610    391.9872    392.9867    393.5432    394.0269    394.2247    394.4674    394.4913    394.6208    394.5763    394.6681    394.6044    394.6868    394.6185    394.6977    394.6267    394.7039    394.6320    394.7081    394.6344    394.7090    394.6332    394.7049    394.6241    394.6890    394.6044    394.6682    394.5822    394.6436    394.5502    394.5907
      0.6025      1.4610    391.9785    392.9682    393.5196    394.0012    394.1983    394.4426    394.4668    394.5964    394.5520    394.6431    394.5792    394.6612    394.5946    394.6752    394.6056    394.6818    394.6068    394.6797    394.6043    394.6773    394.6024    394.6738    394.5963    394.6658    394.5867    394.6557    394.5722    394.6348    394.5449    394.5894
     -0.9640      1.2523    391.9738    392.9611    393.5084    393.9890    394.1882    394.4328    394.4552    394.5825    394.5372    394.6288    394.5661    394.6475    394.5785    394.6561    394.5840    394.6588    394.5831    394.6539    394.5738    394.6403    394.5588    394.6273    394.5515    394.6263    394.5498    394.6186    394.5353    394.6006    394.5156    394.5632
     -0.7230      1.2523    392.0220    393.0723    393.6820    394.2164    394.4457    394.7184    394.7563    394.8985    394.8530    394.9463    394.8789    394.9638    394.8918    394.9713    394.8908    394.9644    394.8822    394.9549    394.8715    394.9409    394.8553    394.9232    394.8322    394.8898    394.7879    394.8377    394.7286    394.7699    394.6493    394.6633
     -0.4820      1.2523    392.0437    393.1107    393.7169    394.2717    394.5182    394.8020    394.8515    395.0004    394.9620    395.0552    394.9838    395.0594    394.9815    395.0558    394.9791    395.0527    394.9702    395.0357    394.9452    395.0058    394.9123    394.9689    394.8710    394.9252    394.8283    394.8829    394.7786    394.8171    394.6882    394.6887
     -0.2410      1.2523    392.0453    393.1191    393.7424    394.2820    394.5139    394.7880    394.8249    394.9658    394.9201    395.0143    394.9469    395.0315    394.9575    395.0364    394.9586    395.0375    394.9648    395.0473    394.9713    395.0438    394.9562    395.0212    394.9269    394.9819    394.8762    394.9217    394.8059    394.8394    394.7055    394.7066
      0.0000      1.2523    392.0382    393.0969    393.7052    394.2395    394.4747    394.7531    394.7949    394.9363    394.8903    394.9812    394.9116    394.9943    394.9216    395.0044    394.9307    395.0139    394.9410    395.0209    394.9386    395.0039    394.9093    394.9702    394.8803    394.9462    394.8574    394.9162    394.8089    394.8454    394.7115    394.7062
      0.2410      1.2523    392.0515    393.1269    393.7358    394.2885    394.5270    394.7997    394.8368    394.9767    394.9344    395.0305    394.9653    395.0468    394.9714    395.0458    394.9657    395.0409    394.9657    395.0476    394.9742    395.0476    394.9600    395.0178    394.9171    394.9655    394.8578    394.9024    394.7903    394.8252    394.6938    394.6918
      0.4820      1.2523    392.0402    393.1095    393.7243    394.2607    394.4885    394.7662    394.8128    394.9711    394.9407    395.0492    394.9867    395.0745    394.9976    395.0741    394.9879    395.0573    394.9651    395.0289    394.9312    394.9924    394.8990    394.9663    394.8757    394.9398    394.8434    394.9026    394.7952    394.8361    394.7041    394.7041
      0.7230      1.2523    392.0260    393.0702    393.6751    394.2095    394.4492    394.7275    394.7705    394.9080    394.8603    394.9468    394.8764    394.9566    394.8845    394.9630    394.8875    394.9632    394.8871    394.9611    394.8799    394.9464    394.8595    394.9223    394.8329    394.8917    394.7957    394.8449    394.7341    394.7690    394.6438    394.6544
      0.9640      1.2523    391.9787    392.9673    393.5179    394.0021    394.2097    394.4642    394.4995    394.6307    394.5847    394.6685    394.5986    394.6745    394.6034    394.6791    394.6068    394.6792    394.6042    394.6755    394.5995    394.6697    394.5926    394.6622    394.5845    394.6530    394.5742    394.6419    394.5618    394.6262    394.5384    394.5852
     -1.0845      1.0436    391.9896    392.9930    393.5524    394.0407    394.2414    394.4881    394.5140    394.6457    394.6002    394.6908    394.6252    394.7064    394.6366    394.7149    394.6406    394.7154    394.6386    394.7111    394.6322    394.7021    394.6227    394.6931    394.6137    394.6827    394.5997    394.6660    394.5804    394.6423    394.5473    394.5880
     -0.8435      1.0436    392.0433    393.1087    393.7233    394.2561    394.4847    394.7563    394.7973    394.9469    394.9153    395.0232    394.9667    395.0548    394.9785    395.0490    394.9603    395.0273    394.9427    395.0143    394.9313    395.0008    394.9139    394.9804    394.8886    394.9482    394.8519    394.9076    394.8040    394.8451    394.7143    394.7132
     -0.6025      1.0436    392.0492    393.1182    393.7275    394.2576    394.4852    394.7587    394.7952    394.9347    394.8874    394.9830    394.9174    395.0049    394.9316    395.0125    394.9350    395.0150    394.9399    395.0177    394.9337    394.9997    394.9065    394.9709    394.8785    394.9410    394.8434    394.9002    394.7975    394.8442    394.7181    394.7175
     -0.3615      1.0436    392.0251    393.0643    393.6431    394.1482    394.3512    394.6140    394.6485    394.7952    394.7546    394.8587    394.8001    394.8984    394.8346    394.9226    394.8423    394.9166    394.8307    394.9034    394.8132    394.8782    394.7862    394.8585    394.7772    394.8540    394.7701    394.8419    394.7435    394.7955    394.6787    394.6948
     -0.1205      1.0436    392.0446    393.1067    393.7052    394.2199    394.4260    394.6803    394.7069    394.8462    394.8054    394.9068    394.8433    394.9312    394.8578    394.9372    394.8580    394.9364    394.8589    394.9378    394.8582    394.9328    394.8500    394.9198    394.8276    394.8895    394.7979    394.8645    394.7694    394.8208    394.6971    394.6999
      0.1205      1.0436    392.0380    393.0896    393.6788    394.1908    394.4013    394.6703    394.7108    394.8620    394.8219    394.9222    394.8553    394.9428    394.8704    394.9513    394.8685    394.9402    394.8530    394.9256    394.8389    394.9100    394.8234    394.8988    394.8174    394.8909    394.8004    394.8648    394.7629    394.8119    394.6930    394.7052
      0.3615      1.0436    392.0335    393.0777    393.6635    394.1681    394.3688    394.6219    394.6518    394.7957    394.7592    394.8650    394.8072    394.9000    394.8338    394.9175    394.8422    394.9179    394.8360    394.9061    394.8180    394.8840    394.7960    394.8659    394.7794    394.8484    394.7652    394.8393    394.7530    394.8101    394.6945    394.7038
      0.6025      1.0436    392.0491    393.1139    393.7175    394.2384    394.4656    394.7374    394.7831    394.9293    394.8934    394.9912    394.9286    395.0143    394.9459    395.0273    394.9503    395.0219    394.9380    395.0083    394.9269    394.9970    394.9122    394.9766    394.8867    394.9435    394.8442    394.8943    394.7917    394.8353    394.7101    394.7115
      0.8435      1.0436    392.0391    393.1116    393.7156    394.2689    394.4966    394.7680    394.8020    394.9493    394.9090    395.0123    394.9465    395.0362    394.9635    395.0495    394.9730    395.0524    394.9659    395.0349    394.9417    395.0090    394.9191    394.9885    394.8936    394.9555    394.8561    394.9169    394.8088    394.8460    394.7080    394.7052
      1.0845      1.0436    391.9831    392.9851    393.5481    394.0426    394.2450    394.4978    394.5282    394.6667    394.6274    394.7233    394.6597    394.7439    394.6714    394.7486    394.6698    394.7425    394.6637    394.7384    394.6604    394.7343    394.6556    394.7285    394.6477    394.7151    394.6302    394.6970    394.6107    394.6737    394.5787    394.6197
     -1.2050      0.8348    392.0156    393.0524    393.6481    394.1640    394.3860    394.6461    394.6834    394.8244    394.7915    394.8954    394.8439    394.9344    394.8690    394.9439    394.8636    394.9297    394.8454    394.9101    394.8224    394.8810    394.7908    394.8513    394.7660    394.8296    394.7445    394.8057    394.7119    394.7565    394.6404    394.6560
     -0.9640      0.8348    392.0434    393.1136    393.7204    394.2749    394.5138    394.7919    394.8353    394.9809    394.9400    395.0380    394.9722    395.0570    394.9838    395.0623    394.9830    395.0566    394.9742    395.0463    394.9601    395.0269    394.9378    395.0040    394.9144    394.9743    394.8753    394.9260    394.8157    394.8496    394.7149    394.7094
     -0.7230      0.8348    392.0275    393.0703    393.6613    394.1794    394.3949    394.6616    394.6955    394.8338    394.7824    394.8756    394.8093    394.9027    394.8356    394.9191    394.8403    394.9180    394.8388    394.9122    394.8212    394.8834    394.7924    394.8653    394.7804    394.8498    394.7612    394.8288    394.7297    394.7795    394.6617    394.6780
     -0.4820      0.8348    392.0425    393.1032    393.7044    394.2215    394.4306    394.6881    394.7231    394.8731    394.8473    394.9600    394.9034    394.9908    394.9145    394.9902    394.9071    394.9807    394.8995    394.9766    394.8958    394.9657    394.8779    394.9418    394.8513    394.9129    394.8191    394.8826    394.7873    394.8376    394.7160    394.7202
     -0.2410      0.8348    392.0469    393.1181    393.7355    394.2658    394.4860    394.7489    394.7828    394.9230    394.8802    394.9799    394.9183    395.0100    394.9430    395.0259    394.9511    395.0320    394.9571    395.0338    394.9468    395.0095    394.9189    394.9885    394.9038    394.9706    394.8786    394.9367    394.8271    394.8603    394.7244    394.7171
      0.0000      0.8348    392.0460    393.1160    393.7280    394.2543    394.4702    394.7364    394.7701    394.9084    394.8572    394.9491    394.8817    394.9711    394.9030    394.9874    394.9118    394.9958    394.9241    395.0088    394.9281    394.9974    394.9090    394.9786    394.8897    394.9495    394.8496    394.9066    394.7996    394.8391    394.7066    394.7065
      0.2410      0.8348    392.0445    393.1089    393.7254    394.2653    394.4975    394.7745    394.8172    394.9644    394.9213    395.0154    394.9439    395.0248    394.9467    395.0221    394.9392    395.0167    394.9408    395.0229    394.9467    395.0227    394.9407    395.0091    394.9116    394.9639    394.8606    394.9177    394.8111    394.8510    394.7203    394.7202
      0.4820      0.8348    392.0461    393.1104    393.7057    394.2240    394.4367    394.7109    394.7496    394.8953    394.8491    394.9503    394.8870    394.9828    394.9115    394.9931    394.9061    394.9799    394.8967    394.9772    394.8926    394.9651    394.8766    394.9526    394.8659    394.9337    394.8375    394.9021    394.7969    394.8419    394.7112    394.7106
      0.7230      0.8348    392.0354    393.0857    393.6728    394.1824    394.3887    394.6454    394.6714    394.8114    394.7700    394.8754    394.8203    394.9189    394.8553    394.9413    394.8613    394.9339    394.8455    394.9123    394.8206    394.8868    394.7990    394.8718    394.7873    394.8577    394.7676    394.8312    394.7299    394.7844    394.6729    394.6924
      0.9640      0.8348    392.0484    393.1220    393.7340    394.2870    394.5256    394.7941    394.8332    394.9743    394.9362    395.0361    394.9765    395.0626    394.9926    395.0679    394.9898    395.0602    394.9787    395.0459    394.9590    395.0210    394.9319    394.9935    394.9006    394.9563    394.8610    394.9160    394.8132    394.8481    394.7163    394.7118
      1.2050      0.8348    392.0166    393.0556    393.6548    394.1777    394.4078    394.6787    394.7250    394.8724    394.8401    394.9407    394.8794    394.9628    394.8921    394.9684    394.8916    394.9610    394.8777    394.9438    394.8582    394.9227    394.8361    394.8981    394.8104    394.8715    394.7819    394.8396    394.7400    394.7833    394.6666    394.6803
     -1.3255      0.6261    392.0127    393.0514    393.6508    394.1800    394.4172    394.6988    394.7472    394.8884    394.8378    394.9195    394.8398    394.9110    394.8301    394.9029    394.8263    394.9060    394.8358    394.9168    394.8392    394.9084    394.8217    394.8856    394.7940    394.8500    394.7511    394.8036    394.7007    394.7423    394.6221    394.6354
     -1.0845      0.6261    392.0470    393.1169    393.7110    394.2555    394.4797    394.7489    394.7816    394.9248    394.8824    394.9842    394.9198    395.0120    394.9420    395.0278    394.9499    395.0278    394.9422    395.0133    394.9228    394.9904    394.9009    394.9703    394.8790    394.9438    394.8484    394.9099    394.8042    394.8479    394.7153    394.7174
