   -0.602500    1.460985    0.527794    0.527668    0.527517    0.527473    0.527266    0.527321    0.527446    0.527747    0.527863    0.527924    0.527727    0.527635    0.527341    0.527252    0.527127    0.527267    0.527364    0.527637    0.527768    0.527961    0.527898    0.527857    0.527708    0.527840    0.528005    0.528157    0.528081    0.528103    0.527948    0.528081    0.528016
   -0.361500    1.460985    0.527733    0.527647    0.527612    0.527521    0.527375    0.527431    0.527466    0.527689    0.527798    0.527961    0.527878    0.527766    0.527372    0.527190    0.527039    0.527237    0.527423    0.527672    0.527766    0.527909    0.527876    0.527889    0.527709    0.527780    0.527882    0.528074    0.528085    0.528169    0.528074    0.528253    0.528313
   -0.120500    1.460985    0.527622    0.527539    0.527435    0.527463    0.527345    0.527525    0.527631    0.527906    0.527900    0.528019    0.527890    0.527871    0.527593    0.527473    0.527311    0.527421    0.527439    0.527602    0.527594    0.527815    0.527847    0.527998    0.527867    0.527974    0.527984    0.528152    0.528115    0.528244    0.528160    0.528242    0.528167
    0.120500    1.460985    0.527910    0.527654    0.527386    0.527418    0.527378    0.527626    0.527719    0.527934    0.527873    0.528003    0.527899    0.527911    0.527635    0.527496    0.527249    0.527314    0.527334    0.527600    0.527692    0.527932    0.527898    0.528012    0.527929    0.528098    0.528118    0.528222    0.528095    0.528205    0.528079    0.528223    0.528153
    0.361500    1.460985    0.527531    0.527475    0.527434    0.527602    0.527586    0.527603    0.527536    0.527661    0.527682    0.527838    0.527760    0.527738    0.527433    0.527278    0.527094    0.527195    0.527293    0.527513    0.527575    0.527762    0.527779    0.527956    0.527951    0.528100    0.528106    0.528152    0.528040    0.528122    0.528022    0.528156    0.528107
    0.602500    1.460985    0.527766    0.527627    0.527536    0.527618    0.527538    0.527608    0.527542    0.527702    0.527694    0.527825    0.527739    0.527711    0.527438    0.527295    0.527119    0.527196    0.527245    0.527443    0.527522    0.527774    0.527875    0.528073    0.528025    0.528099    0.527966    0.527972    0.527879    0.528094    0.528160    0.528312    0.528274
   -0.964000    1.252273    0.527897    0.527654    0.527441    0.527519    0.527430    0.527419    0.527333    0.527519    0.527590    0.527806    0.527761    0.527754    0.527517    0.527394    0.527238    0.527340    0.527358    0.527565    0.527617    0.527815    0.527914    0.528039    0.527926    0.527897    0.527700    0.527815    0.527940    0.528212    0.528165    0.528220    0.528155
   -0.723000    1.252273    0.527906    0.527831    0.527677    0.527619    0.527368    0.527470    0.527416    0.527645    0.527631    0.527893    0.527884    0.527947    0.527650    0.527505    0.527295    0.527471    0.527572    0.527851    0.527845    0.528002    0.527935    0.528048    0.527892    0.527955    0.527840    0.527973    0.527964    0.528217    0.528236    0.528419    0.528363
   -0.482000    1.252273    0.527799    0.527687    0.527589    0.527559    0.527525    0.527571    0.527590    0.527778    0.527868    0.528019    0.528032    0.527985    0.527742    0.527544    0.527406    0.527497    0.527591    0.527763    0.527805    0.527944    0.527986    0.528047    0.527977    0.527998    0.527934    0.527948    0.527947    0.528152    0.528229    0.528320    0.528230
   -0.241000    1.252273    0.527580    0.527692    0.527619    0.527592    0.527344    0.527431    0.527389    0.527761    0.527855    0.528110    0.527990    0.527948    0.527535    0.527395    0.527195    0.527422    0.527511    0.527785    0.527813    0.528048    0.528063    0.528219    0.528045    0.528150    0.528062    0.528164    0.528006    0.528163    0.528062    0.528296    0.528356
    0.000000    1.252273    0.527336    0.527382    0.527479    0.527523    0.527473    0.527537    0.527619    0.527887    0.528068    0.528258    0.528254    0.528073    0.527586    0.527201    0.526955    0.527140    0.527395    0.527672    0.527732    0.527871    0.527985    0.528171    0.528220    0.528274    0.528269    0.528260    0.528142    0.528191    0.528072    0.528133    0.528093
    0.241000    1.252273    0.527816    0.527621    0.527532    0.527597    0.527561    0.527644    0.527703    0.527911    0.527990    0.528106    0.528035    0.527934    0.527561    0.527285    0.527065    0.527193    0.527326    0.527597    0.527695    0.527918    0.528050    0.528177    0.528106    0.528158    0.528152    0.528236    0.528193    0.528275    0.528149    0.528174    0.528118
    0.482000    1.252273    0.527594    0.527633    0.527495    0.527593    0.527486    0.527742    0.527737    0.527956    0.527837    0.528026    0.527885    0.527940    0.527580    0.527452    0.527222    0.527398    0.527396    0.527633    0.527554    0.527832    0.527926    0.528215    0.528088    0.528193    0.528047    0.528236    0.528144    0.528329    0.528156    0.528206    0.528076
    0.723000    1.252273    0.527700    0.527588    0.527566    0.527646    0.527544    0.527694    0.527668    0.527850    0.527842    0.527955    0.527880    0.527839    0.527523    0.527400    0.527213    0.527356    0.527409    0.527612    0.527621    0.527840    0.527932    0.528134    0.528092    0.528135    0.528008    0.528052    0.527967    0.528170    0.528213    0.528396    0.528333
    0.964000    1.252273    0.527417    0.527373    0.527496    0.527714    0.527668    0.527717    0.527641    0.527742    0.527746    0.527784    0.527707    0.527646    0.527426    0.527364    0.527276    0.527420    0.527472    0.527600    0.527579    0.527723    0.527772    0.527890    0.527806    0.527838    0.527819    0.527946    0.527956    0.528142    0.528200    0.528433    0.528470
   -1.084500    1.043561    0.527744    0.527684    0.527495    0.527545    0.527464    0.527550    0.527518    0.527631    0.527573    0.527770    0.527731    0.527787    0.527505    0.527388    0.527216    0.527384    0.527453    0.527647    0.527590    0.527751    0.527796    0.528030    0.527981    0.528044    0.527895    0.528010    0.527988    0.528152    0.528082    0.528185    0.528069
   -0.843500    1.043561    0.527681    0.527610    0.527501    0.527571    0.527451    0.527546    0.527514    0.527732    0.527770    0.528017    0.528009    0.528025    0.527670    0.527462    0.527219    0.527394    0.527498    0.527766    0.527747    0.527912    0.527874    0.528029    0.527960    0.528111    0.528127    0.528248    0.528129    0.528258    0.528173    0.528314    0.528238
   -0.602500    1.043561    0.527720    0.527635    0.527595    0.527693    0.527703    0.527682    0.527528    0.527591    0.527661    0.527917    0.528026    0.528017    0.527645    0.527373    0.527203    0.527416    0.527625    0.527834    0.527821    0.527941    0.527983    0.528095    0.527979    0.528002    0.527984    0.528067    0.528056    0.528220    0.528174    0.528290    0.528245
   -0.361500    1.043561    0.527452    0.527567    0.527530    0.527421    0.527151    0.527317    0.527431    0.527779    0.527904    0.528146    0.528139    0.528094    0.527590    0.527227    0.526911    0.527134    0.527311    0.527615    0.527630    0.527903    0.528108    0.528374    0.528204    0.528163    0.527992    0.528047    0.527906    0.528097    0.528091    0.528241    0.528196
   -0.120500    1.043561    0.527555    0.527437    0.527309    0.527498    0.527542    0.527840    0.527913    0.528081    0.527919    0.527969    0.527750    0.527793    0.527478    0.527400    0.527256    0.527410    0.527353    0.527495    0.527459    0.527830    0.528010    0.528247    0.528007    0.528106    0.528114    0.528303    0.528161    0.528258    0.528043    0.528158    0.528070
    0.120500    1.043561    0.527791    0.527631    0.527537    0.527489    0.527399    0.527546    0.527569    0.527749    0.527786    0.527987    0.528054    0.528053    0.527695    0.527344    0.527111    0.527251    0.527369    0.527563    0.527509    0.527717    0.527916    0.528153    0.528104    0.528154    0.528119    0.528184    0.528077    0.528224    0.528158    0.528223    0.528213
    0.361500    1.043561    0.527833    0.527720    0.527578    0.527501    0.527289    0.527452    0.527465    0.527729    0.527762    0.527955    0.527889    0.527883    0.527539    0.527346    0.527203    0.527374    0.527464    0.527656    0.527582    0.527776    0.527827    0.528016    0.527940    0.528121    0.528176    0.528316    0.528131    0.528202    0.528102    0.528204    0.528144
    0.602500    1.043561    0.527366    0.527346    0.527430    0.527613    0.527777    0.527861    0.527894    0.527923    0.527877    0.527912    0.527908    0.527869    0.527593    0.527317    0.527115    0.527204    0.527377    0.527606    0.527714    0.527875    0.527978    0.528081    0.528101    0.528179    0.528244    0.528228    0.528123    0.528177    0.528151    0.528285    0.528302
