   1416.7479   1378.2393   1316.1650   1245.0906   1169.1825   1092.3213   1017.9314    948.7772    886.8433    832.9399    673.7167    661.3714
   1457.4901   1418.9535   1356.7695   1285.4223   1208.9595   1131.1193   1055.1753    983.7514    918.7150    860.7672    686.8237    673.5083
   1485.0589   1446.5034   1384.2444   1312.7112   1235.8705   1157.3635   1080.3622   1007.3953    940.2519    879.5595    695.6316    681.6579
   1502.3064   1463.7391   1401.4338   1329.7856   1252.7108   1173.7906   1096.1337   1022.2105    953.7659    891.3921    701.3737    687.0053
   1513.5783   1475.0032   1412.6670   1340.9423   1263.7120   1184.5177   1106.4264   1031.8698    962.5609    899.0625    704.9546    690.3165
   1521.3193   1482.7389   1420.3821   1348.6063   1271.2717   1191.8931   1113.5090   1038.5241    968.6289    904.3653    707.4706    692.6484
   1526.6159   1488.0318   1425.6603   1353.8480   1276.4396   1196.9309   1118.3409   1043.0560    972.7523    907.9577    709.1333    694.1832
   1530.2826   1491.6961   1429.3150   1357.4789   1280.0219   1200.4272   1121.7002   1046.2145    975.6353    910.4803    710.3420    695.3051
   1532.9987   1494.4102   1432.0215   1360.1664   1282.6707   1203.0081   1124.1739   1048.5325    977.7416    912.3121    711.1775    696.0745
   1534.7644   1496.1748   1433.7816   1361.9154   1284.3972   1204.6944   1125.7959   1050.0599    979.1386    913.5379    711.7774    696.6332
   1535.7149   1497.1245   1434.7285   1362.8551   1285.3223   1205.5943   1126.6562   1050.8631    979.8650    914.1653    712.0477    696.8801
   1536.2582   1497.6675   1435.2703   1363.3941   1285.8555   1206.1167   1127.1611   1051.3418    980.3065    914.5572    712.2563    697.0771
   1536.2581   1497.6674   1435.2699   1363.3928   1285.8527   1206.1115   1127.1527   1051.3294    980.2898    914.5363    712.2223    697.0427
   1535.7149   1497.1246   1434.7289   1362.8564   1285.3252   1205.5995   1126.6648   1050.8758    979.8821    914.1870    712.0830    696.9178
   1534.7644   1496.1746   1433.7812   1361.9142   1284.3944   1204.6893   1125.7877   1050.0479    979.1224    913.5175    711.7447    696.6014
   1533.2704   1494.6818   1432.2927   1360.4366   1282.9388   1203.2721   1124.4309   1048.7786    977.9716    912.5197    711.3011    696.1944
   1531.2333   1492.6461   1430.2621   1358.4189   1280.9474   1201.3275   1122.5610   1047.0185    976.3627    911.1092    710.6151    695.5560
   1528.5172   1489.9319   1427.5557   1355.7315   1278.2987   1198.7466   1120.0874   1044.7007    974.2568    909.2779    709.7807    694.7875
   1525.2578   1486.6746   1424.3069   1352.5038   1275.1140   1195.6382   1117.1005   1041.8920    971.6925    907.0338    708.7039    693.7878
   1521.7268   1483.1462   1420.7883   1349.0098   1271.6698   1192.2816   1113.8823   1038.8751    968.9497    904.6467    707.6090    692.7786
   1517.5167   1478.9388   1416.5920   1344.8409   1267.5570   1188.2679   1110.0265   1035.2507    965.6424    901.7541    706.2279    691.4974
   1512.7635   1474.1890   1411.8554   1340.1371   1262.9197   1183.7477   1105.6915   1031.1853    961.9444    898.5335    704.7420    690.1265
   1507.1955   1468.6247   1406.3059   1334.6242   1257.4813   1178.4412   1100.5949   1026.3959    957.5758    894.7147    702.9265    688.4436
   1500.6767   1462.1105   1399.8097   1328.1726   1251.1204   1172.2400   1094.6464   1020.8158    952.4979    890.2898    700.8758    686.5505
   1492.6642   1454.1034   1391.8239   1320.2398   1243.2956   1164.6061   1087.3159   1013.9290    946.2187    884.8036    698.2782    684.1442
   1482.7501   1444.1962   1381.9439   1310.4273   1233.6201   1155.1721   1078.2647   1005.4360    938.4871    878.0630    695.1414    681.2465
   1469.8485   1431.3034   1369.0856   1297.6549   1221.0225   1142.8833   1066.4664    994.3547    928.3866    869.2420    690.9795    677.3936
   1452.4651   1413.9320   1351.7617   1280.4486   1204.0553   1126.3379   1050.5895    979.4534    914.8171    857.4069    685.4533    672.2861
   1427.8840   1389.3677   1327.2635   1256.1148   1180.0560   1102.9291   1028.1182    958.3517    895.5881    840.6196    677.5547    664.9771
   1396.7843   1358.2895   1296.2698   1225.3309   1149.6985   1073.3239    999.7064    931.6817    871.2969    819.4272    667.6375    655.8079
