 -1.446000e+00 -1.770000e+00  4.531137e+02
 -1.446000e+00 -1.652000e+00  4.529257e+02
 -1.446000e+00 -1.534000e+00  4.528144e+02
 -1.446000e+00 -1.416000e+00  4.528614e+02
 -1.446000e+00 -1.298000e+00  4.528614e+02
 -1.446000e+00 -1.180000e+00  4.530327e+02
 -1.446000e+00 -1.062000e+00  4.530513e+02
 -1.446000e+00 -9.440000e-01  4.532301e+02
 -1.446000e+00 -8.260000e-01  4.531931e+02
 -1.446000e+00 -7.080000e-01  4.532308e+02
 -1.446000e+00 -5.900000e-01  4.530531e+02
 -1.446000e+00 -4.720000e-01  4.529149e+02
 -1.446000e+00 -3.540000e-01  4.525970e+02
 -1.446000e+00 -2.360000e-01  4.524707e+02
 -1.446000e+00 -1.180000e-01  4.523733e+02
 -1.446000e+00 -7.771561e-16  4.525687e+02
 -1.446000e+00  1.180000e-01  4.526734e+02
 -1.446000e+00  2.360000e-01  4.528788e+02
 -1.446000e+00  3.540000e-01  4.528824e+02
 -1.446000e+00  4.720000e-01  4.530379e+02
 -1.446000e+00  5.900000e-01  4.530712e+02
 -1.446000e+00  7.080000e-01  4.532238e+02
 -1.446000e+00  8.260000e-01  4.531995e+02
 -1.446000e+00  9.440000e-01  4.533114e+02
 -1.446000e+00  1.062000e+00  4.532908e+02
 -1.446000e+00  1.180000e+00  4.533367e+02
 -1.446000e+00  1.298000e+00  4.532135e+02
 -1.446000e+00  1.416000e+00  4.532797e+02
 -1.446000e+00  1.534000e+00  4.532129e+02
 -1.446000e+00  1.652000e+00  4.532907e+02
 -1.446000e+00  1.770000e+00  4.532207e+02
 -1.205000e+00 -1.770000e+00  4.533102e+02
 -1.205000e+00 -1.652000e+00  4.530061e+02
 -1.205000e+00 -1.534000e+00  4.528262e+02
 -1.205000e+00 -1.416000e+00  4.526916e+02
 -1.205000e+00 -1.298000e+00  4.525304e+02
 -1.205000e+00 -1.180000e+00  4.527751e+02
 -1.205000e+00 -1.062000e+00  4.530145e+02
 -1.205000e+00 -9.440000e-01  4.533069e+02
 -1.205000e+00 -8.260000e-01  4.533061e+02
 -1.205000e+00 -7.080000e-01  4.533566e+02
 -1.205000e+00 -5.900000e-01  4.532103e+02
 -1.205000e+00 -4.720000e-01  4.531124e+02
 -1.205000e+00 -3.540000e-01  4.527281e+02
 -1.205000e+00 -2.360000e-01  4.524283e+02
 -1.205000e+00 -1.180000e-01  4.522112e+02
 -1.205000e+00 -7.771561e-16  4.523688e+02
 -1.205000e+00  1.180000e-01  4.525501e+02
 -1.205000e+00  2.360000e-01  4.528319e+02
 -1.205000e+00  3.540000e-01  4.528645e+02
 -1.205000e+00  4.720000e-01  4.530224e+02
 -1.205000e+00  5.900000e-01  4.530994e+02
 -1.205000e+00  7.080000e-01  4.532556e+02
 -1.205000e+00  8.260000e-01  4.532216e+02
 -1.205000e+00  9.440000e-01  4.533130e+02
 -1.205000e+00  1.062000e+00  4.533262e+02
 -1.205000e+00  1.180000e+00  4.533745e+02
 -1.205000e+00  1.298000e+00  4.532060e+02
 -1.205000e+00  1.416000e+00  4.532881e+02
 -1.205000e+00  1.534000e+00  4.532275e+02
 -1.205000e+00  1.652000e+00  4.533504e+02
 -1.205000e+00  1.770000e+00  4.533464e+02
 -9.640000e-01 -1.770000e+00  4.531672e+02
